Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VimeoQA,Chrome 94.0.4606.81,,,2021-10-13 21:35:14,2021-10-13 21:36:01,46.646s,PASSED
,,,,,,,
Test Cases/User/UserActions,Chrome 94.0.4606.81,,,2021-10-13 21:35:15,2021-10-13 21:35:22,6.979s,PASSED
"response = sendRequest(findTestObject(""UserAPI/vimeoComment""))",Chrome 94.0.4606.81,,,2021-10-13 21:35:17,2021-10-13 21:35:21,4.833s,PASSED
"verifyResponseStatusCode(response, 201)",Chrome 94.0.4606.81,,,2021-10-13 21:35:21,2021-10-13 21:35:21,0.034s,PASSED
body = response.getResponseBodyContent(),Chrome 94.0.4606.81,,,2021-10-13 21:35:21,2021-10-13 21:35:22,0.026s,PASSED
println(body),Chrome 94.0.4606.81,,,2021-10-13 21:35:22,2021-10-13 21:35:22,0.007s,PASSED
parser = new groovy.json.JsonSlurper(),Chrome 94.0.4606.81,,,2021-10-13 21:35:22,2021-10-13 21:35:22,0.025s,PASSED
responseAfterParsing = parser.parseText(body),Chrome 94.0.4606.81,,,2021-10-13 21:35:22,2021-10-13 21:35:22,0.025s,PASSED
link = link,Chrome 94.0.4606.81,,,2021-10-13 21:35:22,2021-10-13 21:35:22,0.027s,PASSED
"values = link.split(""#"")",Chrome 94.0.4606.81,,,2021-10-13 21:35:22,2021-10-13 21:35:22,0.004s,PASSED
comment_id = values[1],Chrome 94.0.4606.81,,,2021-10-13 21:35:22,2021-10-13 21:35:22,0.009s,PASSED
comment_text = text,Chrome 94.0.4606.81,,,2021-10-13 21:35:22,2021-10-13 21:35:22,0.001s,PASSED
,,,,,,,
Test Cases/commentCheck/commentVerify,Chrome 94.0.4606.81,,,2021-10-13 21:35:22,2021-10-13 21:35:49,27.653s,PASSED
"openBrowser("""")",Chrome 94.0.4606.81,,,2021-10-13 21:35:23,2021-10-13 21:35:26,2.986s,PASSED
"navigateToUrl(""https://vimeo.com/"")",Chrome 94.0.4606.81,,,2021-10-13 21:35:26,2021-10-13 21:35:27,1.015s,PASSED
"verifyElementPresent(findTestObject(""Random Captures/Page_Vimeo  The worlds only all-in-one video solution/h1_Unlock thepower of video""), 2)",Chrome 94.0.4606.81,,,2021-10-13 21:35:27,2021-10-13 21:35:29,2.354s,PASSED
