Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VimeoQA,Chrome 94.0.4606.81,,,2021-10-13 19:40:11,2021-10-13 19:40:39,27.993s,PASSED
,,,,,,,
Test Cases/User/UserActions,Chrome 94.0.4606.81,,,2021-10-13 19:40:11,2021-10-13 19:40:19,7.403s,PASSED
"response = sendRequest(findTestObject(""User/vimeoComment""))",Chrome 94.0.4606.81,,,2021-10-13 19:40:13,2021-10-13 19:40:19,5.155s,PASSED
body = response.getResponseBodyContent(),Chrome 94.0.4606.81,,,2021-10-13 19:40:19,2021-10-13 19:40:19,0.027s,PASSED
println(body),Chrome 94.0.4606.81,,,2021-10-13 19:40:19,2021-10-13 19:40:19,0.006s,PASSED
parser = new groovy.json.JsonSlurper(),Chrome 94.0.4606.81,,,2021-10-13 19:40:19,2021-10-13 19:40:19,0.025s,PASSED
responseAfterParsing = parser.parseText(body),Chrome 94.0.4606.81,,,2021-10-13 19:40:19,2021-10-13 19:40:19,0.027s,PASSED
link = link,Chrome 94.0.4606.81,,,2021-10-13 19:40:19,2021-10-13 19:40:19,0.027s,PASSED
"values = link.split(""#"")",Chrome 94.0.4606.81,,,2021-10-13 19:40:19,2021-10-13 19:40:19,0.004s,PASSED
comment_id = values[1],Chrome 94.0.4606.81,,,2021-10-13 19:40:19,2021-10-13 19:40:19,0.009s,PASSED
println(comment_id),Chrome 94.0.4606.81,,,2021-10-13 19:40:19,2021-10-13 19:40:19,0.000s,PASSED
comment_text = text,Chrome 94.0.4606.81,,,2021-10-13 19:40:19,2021-10-13 19:40:19,0.001s,PASSED
"verifyResponseStatusCode(response, 201)",Chrome 94.0.4606.81,,,2021-10-13 19:40:19,2021-10-13 19:40:19,0.034s,PASSED
,,,,,,,
Test Cases/commentCheck/commentVerify,Chrome 94.0.4606.81,,,2021-10-13 19:40:19,2021-10-13 19:40:39,19.882s,PASSED
"openBrowser("""")",Chrome 94.0.4606.81,,,2021-10-13 19:40:20,2021-10-13 19:40:23,3.042s,PASSED
"navigateToUrl(""https://vimeo.com/"")",Chrome 94.0.4606.81,,,2021-10-13 19:40:23,2021-10-13 19:40:24,0.988s,PASSED
"click(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/a_Log in""))",Chrome 94.0.4606.81,,,2021-10-13 19:40:24,2021-10-13 19:40:27,2.523s,PASSED
"setText(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_Log in to Vimeo_email""), ""ronyland@post.bgu.ac.il"")",Chrome 94.0.4606.81,,,2021-10-13 19:40:27,2021-10-13 19:40:28,1.079s,PASSED
"setEncryptedText(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_Log in to Vimeo_password""), ""3JtwHyzuAJdJUxaSbWvCLQ=="")",Chrome 94.0.4606.81,,,2021-10-13 19:40:28,2021-10-13 19:40:29,0.666s,PASSED
"click(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_A security code has been sent to your_7a5454""))",Chrome 94.0.4606.81,,,2021-10-13 19:40:29,2021-10-13 19:40:29,0.567s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-13 19:40:29,2021-10-13 19:40:34,5.097s,PASSED
"navigateToUrl(""https://vimeo.com/"" + video_id)",Chrome 94.0.4606.81,,,2021-10-13 19:40:34,2021-10-13 19:40:36,1.696s,PASSED
"focus(findTestObject(""check3/pageTitleCapture/div_Menu                                   _11ec99""))",Chrome 94.0.4606.81,,,2021-10-13 19:40:36,2021-10-13 19:40:37,1.500s,PASSED
"comment = getText(findTestObject(""dynamicComment"", [""comment_id"":comment_id]))",Chrome 94.0.4606.81,,,2021-10-13 19:40:37,2021-10-13 19:40:39,1.124s,PASSED
println(comment),Chrome 94.0.4606.81,,,2021-10-13 19:40:39,2021-10-13 19:40:39,0.001s,PASSED
"comment_text = comment.split(""
"")[1]",Chrome 94.0.4606.81,,,2021-10-13 19:40:39,2021-10-13 19:40:39,0.000s,PASSED
println(comment_text),Chrome 94.0.4606.81,,,2021-10-13 19:40:39,2021-10-13 19:40:39,0.003s,PASSED
"verifyMatch(comment_text, comment_text, false)",Chrome 94.0.4606.81,,,2021-10-13 19:40:39,2021-10-13 19:40:39,0.030s,PASSED
