Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VimeoQA,Chrome 94.0.4606.81,,,2021-10-13 15:42:07,2021-10-13 15:42:28,20.947s,PASSED
,,,,,,,
Test Cases/User/UserActions,Chrome 94.0.4606.81,,,2021-10-13 15:42:08,2021-10-13 15:42:15,7.374s,PASSED
"response = sendRequest(findTestObject(""User/vimeoComment""))",Chrome 94.0.4606.81,,,2021-10-13 15:42:10,2021-10-13 15:42:15,5.002s,PASSED
body = response.getResponseBodyContent(),Chrome 94.0.4606.81,,,2021-10-13 15:42:15,2021-10-13 15:42:15,0.029s,PASSED
println(body),Chrome 94.0.4606.81,,,2021-10-13 15:42:15,2021-10-13 15:42:15,0.007s,PASSED
parser = new groovy.json.JsonSlurper(),Chrome 94.0.4606.81,,,2021-10-13 15:42:15,2021-10-13 15:42:15,0.024s,PASSED
responseAfterParsing = parser.parseText(body),Chrome 94.0.4606.81,,,2021-10-13 15:42:15,2021-10-13 15:42:15,0.024s,PASSED
link = link,Chrome 94.0.4606.81,,,2021-10-13 15:42:15,2021-10-13 15:42:15,0.027s,PASSED
"values = link.split(""#"")",Chrome 94.0.4606.81,,,2021-10-13 15:42:15,2021-10-13 15:42:15,0.004s,PASSED
comment_id = values[1],Chrome 94.0.4606.81,,,2021-10-13 15:42:15,2021-10-13 15:42:15,0.010s,PASSED
println(comment_id),Chrome 94.0.4606.81,,,2021-10-13 15:42:15,2021-10-13 15:42:15,0.001s,PASSED
comment_text = text,Chrome 94.0.4606.81,,,2021-10-13 15:42:15,2021-10-13 15:42:15,0.000s,PASSED
"verifyResponseStatusCode(response, 201)",Chrome 94.0.4606.81,,,2021-10-13 15:42:15,2021-10-13 15:42:15,0.033s,PASSED
,,,,,,,
Test Cases/commentCheck/commentVerify,Chrome 94.0.4606.81,,,2021-10-13 15:42:15,2021-10-13 15:42:28,12.832s,PASSED
"openBrowser("""")",Chrome 94.0.4606.81,,,2021-10-13 15:42:17,2021-10-13 15:42:20,2.963s,PASSED
"navigateToUrl(""https://vimeo.com/"")",Chrome 94.0.4606.81,,,2021-10-13 15:42:20,2021-10-13 15:42:21,1.011s,PASSED
"click(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/a_Log in""))",Chrome 94.0.4606.81,,,2021-10-13 15:42:21,2021-10-13 15:42:21,0.002s,NOT_RUN
"setText(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_Log in to Vimeo_email""), ""ronyland@post.bgu.ac.il"")",Chrome 94.0.4606.81,,,2021-10-13 15:42:21,2021-10-13 15:42:21,0.002s,NOT_RUN
"setEncryptedText(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_Log in to Vimeo_password""), ""3JtwHyzuAJdJUxaSbWvCLQ=="")",Chrome 94.0.4606.81,,,2021-10-13 15:42:21,2021-10-13 15:42:21,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_A security code has been sent to your_7a5454""))",Chrome 94.0.4606.81,,,2021-10-13 15:42:21,2021-10-13 15:42:21,0.002s,NOT_RUN
"navigateToUrl(""https://vimeo.com/"" + video_id)",Chrome 94.0.4606.81,,,2021-10-13 15:42:21,2021-10-13 15:42:23,2.085s,PASSED
"scrollToPosition(9999999, 9999999)",Chrome 94.0.4606.81,,,2021-10-13 15:42:23,2021-10-13 15:42:23,0.001s,NOT_RUN
"focus(findTestObject(""check3/Page_Soccer Moves - Soccer Kicking - Soccer_d22ea9/div_Menu                                   _11ec99""))",Chrome 94.0.4606.81,,,2021-10-13 15:42:23,2021-10-13 15:42:25,2.779s,PASSED
"comment = getText(findTestObject(""dynamicComment"", [""comment_id"":comment_id]))",Chrome 94.0.4606.81,,,2021-10-13 15:42:25,2021-10-13 15:42:26,1.031s,PASSED
"section_comments2 = getText(findTestObject(""catching1/Page_Explore on Vimeo/section_2 Comments 6 years agoReplyEli Cohen2 hours agonice videoReplyAdd a new comment""))",Chrome 94.0.4606.81,,,2021-10-13 15:42:26,2021-10-13 15:42:27,0.594s,PASSED
"comment_text = comment.split(""
"")[1]",Chrome 94.0.4606.81,,,2021-10-13 15:42:27,2021-10-13 15:42:27,0.001s,PASSED
println(comment_text),Chrome 94.0.4606.81,,,2021-10-13 15:42:27,2021-10-13 15:42:27,0.003s,PASSED
"verifyMatch(comment_text, comment_text, false)",Chrome 94.0.4606.81,,,2021-10-13 15:42:27,2021-10-13 15:42:27,0.072s,PASSED
closeBrowser(),Chrome 94.0.4606.81,,,2021-10-13 15:42:27,2021-10-13 15:42:28,0.733s,PASSED
