Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VimeoQA,Chrome 94.0.4606.81,,,2021-10-13 16:47:17,2021-10-13 16:48:24,1m - 7.496s,FAILED
,,,,,,,
Test Cases/User/UserActions,Chrome 94.0.4606.81,,,2021-10-13 16:47:17,2021-10-13 16:47:25,7.547s,PASSED
"response = sendRequest(findTestObject(""User/vimeoComment""))",Chrome 94.0.4606.81,,,2021-10-13 16:47:20,2021-10-13 16:47:25,5.257s,PASSED
body = response.getResponseBodyContent(),Chrome 94.0.4606.81,,,2021-10-13 16:47:25,2021-10-13 16:47:25,0.027s,PASSED
println(body),Chrome 94.0.4606.81,,,2021-10-13 16:47:25,2021-10-13 16:47:25,0.006s,PASSED
parser = new groovy.json.JsonSlurper(),Chrome 94.0.4606.81,,,2021-10-13 16:47:25,2021-10-13 16:47:25,0.029s,PASSED
responseAfterParsing = parser.parseText(body),Chrome 94.0.4606.81,,,2021-10-13 16:47:25,2021-10-13 16:47:25,0.025s,PASSED
link = link,Chrome 94.0.4606.81,,,2021-10-13 16:47:25,2021-10-13 16:47:25,0.031s,PASSED
"values = link.split(""#"")",Chrome 94.0.4606.81,,,2021-10-13 16:47:25,2021-10-13 16:47:25,0.004s,PASSED
comment_id = values[1],Chrome 94.0.4606.81,,,2021-10-13 16:47:25,2021-10-13 16:47:25,0.009s,PASSED
println(comment_id),Chrome 94.0.4606.81,,,2021-10-13 16:47:25,2021-10-13 16:47:25,0.001s,PASSED
comment_text = text,Chrome 94.0.4606.81,,,2021-10-13 16:47:25,2021-10-13 16:47:25,0.001s,PASSED
"verifyResponseStatusCode(response, 201)",Chrome 94.0.4606.81,,,2021-10-13 16:47:25,2021-10-13 16:47:25,0.033s,PASSED
,,,,,,,
Test Cases/commentCheck/commentVerify,Chrome 94.0.4606.81,,,2021-10-13 16:47:25,2021-10-13 16:48:14,49.155s,FAILED
"openBrowser("""")",Chrome 94.0.4606.81,,,2021-10-13 16:47:26,2021-10-13 16:47:29,3.075s,PASSED
"navigateToUrl(""https://vimeo.com/"")",Chrome 94.0.4606.81,,,2021-10-13 16:47:29,2021-10-13 16:47:31,1.093s,PASSED
"click(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/a_Log in""))",Chrome 94.0.4606.81,,,2021-10-13 16:47:31,2021-10-13 16:47:32,0.936s,PASSED
"setText(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_Log in to Vimeo_email""), ""ronyland@post.bgu.ac.il"")",Chrome 94.0.4606.81,,,2021-10-13 16:47:32,2021-10-13 16:47:34,2.611s,PASSED
"setEncryptedText(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_Log in to Vimeo_password""), ""3JtwHyzuAJdJUxaSbWvCLQ=="")",Chrome 94.0.4606.81,,,2021-10-13 16:47:34,2021-10-13 16:47:35,0.640s,PASSED
"click(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_A security code has been sent to your_7a5454""))",Chrome 94.0.4606.81,,,2021-10-13 16:47:35,2021-10-13 16:47:35,0.598s,PASSED
"navigateToUrl(""https://vimeo.com/"" + video_id)",Chrome 94.0.4606.81,,,2021-10-13 16:47:35,2021-10-13 16:47:38,2.239s,PASSED
"scrollToPosition(9999999, 9999999)",Chrome 94.0.4606.81,,,2021-10-13 16:47:38,2021-10-13 16:47:38,0.001s,NOT_RUN
"focus(findTestObject(""check3/pageTitleCapture/div_Menu                                   _11ec99""))",Chrome 94.0.4606.81,,,2021-10-13 16:47:38,2021-10-13 16:47:39,1.453s,PASSED
"comment = getText(findTestObject(""dynamicComment"", [""comment_id"":comment_id]))",Chrome 94.0.4606.81,,,2021-10-13 16:47:39,2021-10-13 16:48:14,35.034s,FAILED
,,,,,,,
Test Cases/LikesViews/LikeViews,Chrome 94.0.4606.81,,,2021-10-13 16:48:14,2021-10-13 16:48:24,10.064s,PASSED
"openBrowser("""")",Chrome 94.0.4606.81,,,2021-10-13 16:48:15,2021-10-13 16:48:17,2.013s,PASSED
"navigateToUrl(""https://vimeo.com/"" + video_id2)",Chrome 94.0.4606.81,,,2021-10-13 16:48:17,2021-10-13 16:48:20,2.223s,PASSED
"focus(findTestObject(""check3/pageTitleCapture/div_Menu                                   _11ec99""))",Chrome 94.0.4606.81,,,2021-10-13 16:48:20,2021-10-13 16:48:22,2.051s,PASSED
"temp = getText(findTestObject(""Object Repository/objectLikesViews/Page_YONA on Vimeo/span_3,530""))",Chrome 94.0.4606.81,,,2021-10-13 16:48:22,2021-10-13 16:48:23,1.112s,PASSED
"temp1 = getText(findTestObject(""Object Repository/objectLikesViews/Page_YONA on Vimeo/span_202K""))",Chrome 94.0.4606.81,,,2021-10-13 16:48:23,2021-10-13 16:48:23,0.570s,PASSED
likes_number = temp,Chrome 94.0.4606.81,,,2021-10-13 16:48:23,2021-10-13 16:48:23,0.001s,PASSED
views_num = temp1,Chrome 94.0.4606.81,,,2021-10-13 16:48:23,2021-10-13 16:48:23,0.000s,PASSED
println(likes_number),Chrome 94.0.4606.81,,,2021-10-13 16:48:23,2021-10-13 16:48:23,0.002s,PASSED
println(views_num),Chrome 94.0.4606.81,,,2021-10-13 16:48:23,2021-10-13 16:48:23,0.001s,PASSED
closeBrowser(),Chrome 94.0.4606.81,,,2021-10-13 16:48:23,2021-10-13 16:48:24,0.723s,PASSED
