Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VimeoQA,Chrome 94.0.4606.81,,,2021-10-13 21:21:29,2021-10-13 21:22:19,49.414s,FAILED
,,,,,,,
Test Cases/User/UserActions,Chrome 94.0.4606.81,,,2021-10-13 21:21:30,2021-10-13 21:21:37,7.179s,PASSED
"response = sendRequest(findTestObject(""UserAPI/vimeoComment""))",Chrome 94.0.4606.81,,,2021-10-13 21:21:32,2021-10-13 21:21:37,5.003s,PASSED
"verifyResponseStatusCode(response, 201)",Chrome 94.0.4606.81,,,2021-10-13 21:21:37,2021-10-13 21:21:37,0.035s,PASSED
body = response.getResponseBodyContent(),Chrome 94.0.4606.81,,,2021-10-13 21:21:37,2021-10-13 21:21:37,0.027s,PASSED
println(body),Chrome 94.0.4606.81,,,2021-10-13 21:21:37,2021-10-13 21:21:37,0.007s,PASSED
parser = new groovy.json.JsonSlurper(),Chrome 94.0.4606.81,,,2021-10-13 21:21:37,2021-10-13 21:21:37,0.026s,PASSED
responseAfterParsing = parser.parseText(body),Chrome 94.0.4606.81,,,2021-10-13 21:21:37,2021-10-13 21:21:37,0.024s,PASSED
link = link,Chrome 94.0.4606.81,,,2021-10-13 21:21:37,2021-10-13 21:21:37,0.026s,PASSED
"values = link.split(""#"")",Chrome 94.0.4606.81,,,2021-10-13 21:21:37,2021-10-13 21:21:37,0.004s,PASSED
comment_id = values[1],Chrome 94.0.4606.81,,,2021-10-13 21:21:37,2021-10-13 21:21:37,0.009s,PASSED
comment_text = text,Chrome 94.0.4606.81,,,2021-10-13 21:21:37,2021-10-13 21:21:37,0.001s,PASSED
,,,,,,,
Test Cases/commentCheck/commentVerify,Chrome 94.0.4606.81,,,2021-10-13 21:21:37,2021-10-13 21:22:07,29.970s,FAILED
"openBrowser("""")",Chrome 94.0.4606.81,,,2021-10-13 21:21:39,2021-10-13 21:21:42,2.980s,PASSED
"navigateToUrl(""https://vimeo.com/"")",Chrome 94.0.4606.81,,,2021-10-13 21:21:42,2021-10-13 21:21:43,0.981s,PASSED
"verifyElementPresent(findTestObject(""Random Captures/Page_Vimeo  The worlds only all-in-one video solution/h1_Unlock thepower of video""), 2)",Chrome 94.0.4606.81,,,2021-10-13 21:21:43,2021-10-13 21:21:44,1.255s,PASSED
"click(findTestObject(""Object Repository/log in objects/Page_Vimeo  The worlds only all-in-one vide_2822c6/a_Log in""))",Chrome 94.0.4606.81,,,2021-10-13 21:21:44,2021-10-13 21:21:46,1.692s,PASSED
"verifyElementPresent(findTestObject(""Random Captures/Page_Vimeo  The worlds only all-in-one video solution/span_Log in to Vimeo""), 2)",Chrome 94.0.4606.81,,,2021-10-13 21:21:46,2021-10-13 21:21:46,0.723s,PASSED
"setText(findTestObject(""Object Repository/log in objects/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_Log in to Vimeo_email""), ""ronyland@post.bgu.ac.il"")",Chrome 94.0.4606.81,,,2021-10-13 21:21:46,2021-10-13 21:21:47,0.936s,PASSED
"setEncryptedText(findTestObject(""Object Repository/log in objects/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_Log in to Vimeo_password""), ""3JtwHyzuAJdJUxaSbWvCLQ=="")",Chrome 94.0.4606.81,,,2021-10-13 21:21:47,2021-10-13 21:21:48,0.626s,PASSED
"click(findTestObject(""Object Repository/log in objects/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_A security code has been sent to your_7a5454""))",Chrome 94.0.4606.81,,,2021-10-13 21:21:48,2021-10-13 21:21:48,0.550s,PASSED
"verifyElementPresent(findTestObject(""Random Captures/Page_Videos on Vimeo/div_Eli Cohen""), 2)",Chrome 94.0.4606.81,,,2021-10-13 21:21:48,2021-10-13 21:21:54,6.028s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-13 21:21:54,2021-10-13 21:21:59,5.077s,PASSED
"navigateToUrl(""https://vimeo.com/"" + video_id)",Chrome 94.0.4606.81,,,2021-10-13 21:21:59,2021-10-13 21:22:02,2.314s,PASSED
"verifyElementPresent(findTestObject(""Random Captures/Page_Chuj Boys of Summer on Vimeo/div_Open in app_vp-nudge-shade vp-nudge-shade-left vp-nudge-shade-invisible""), 2)",Chrome 94.0.4606.81,,,2021-10-13 21:22:02,2021-10-13 21:22:06,4.021s,FAILED
,,,,,,,
Test Cases/LikesViews/LikeViews,Chrome 94.0.4606.81,,,2021-10-13 21:22:07,2021-10-13 21:22:19,11.552s,PASSED
"openBrowser("""")",Chrome 94.0.4606.81,,,2021-10-13 21:22:09,2021-10-13 21:22:11,2.048s,PASSED
"navigateToUrl(""https://vimeo.com/"" + video_id2)",Chrome 94.0.4606.81,,,2021-10-13 21:22:11,2021-10-13 21:22:13,2.049s,PASSED
"focus(findTestObject(""pageTitleObject/pageTitleCapture/div_Menu                                   _11ec99""))",Chrome 94.0.4606.81,,,2021-10-13 21:22:13,2021-10-13 21:22:15,2.175s,PASSED
"verifyElementPresent(findTestObject(""Random Captures/Page_Chuj Boys of Summer on Vimeo/span_Add a new comment""), 2)",Chrome 94.0.4606.81,,,2021-10-13 21:22:15,2021-10-13 21:22:16,0.886s,PASSED
"likes = getText(findTestObject(""Object Repository/objectLikesViews/Page_YONA on Vimeo/span_3,530""))",Chrome 94.0.4606.81,,,2021-10-13 21:22:16,2021-10-13 21:22:16,0.540s,PASSED
"views = getText(findTestObject(""Object Repository/objectLikesViews/Page_YONA on Vimeo/span_202K""))",Chrome 94.0.4606.81,,,2021-10-13 21:22:16,2021-10-13 21:22:17,0.503s,PASSED
likes_number = likes,Chrome 94.0.4606.81,,,2021-10-13 21:22:17,2021-10-13 21:22:17,0.001s,PASSED
views_num = views,Chrome 94.0.4606.81,,,2021-10-13 21:22:17,2021-10-13 21:22:17,0.001s,PASSED
"verifyTextPresent(likes_number, false)",Chrome 94.0.4606.81,,,2021-10-13 21:22:17,2021-10-13 21:22:17,0.692s,PASSED
"verifyTextPresent(views_num, false)",Chrome 94.0.4606.81,,,2021-10-13 21:22:17,2021-10-13 21:22:18,0.541s,PASSED
println(likes_number),Chrome 94.0.4606.81,,,2021-10-13 21:22:18,2021-10-13 21:22:18,0.001s,PASSED
println(views_num),Chrome 94.0.4606.81,,,2021-10-13 21:22:18,2021-10-13 21:22:18,0.001s,PASSED
closeBrowser(),Chrome 94.0.4606.81,,,2021-10-13 21:22:18,2021-10-13 21:22:19,0.735s,PASSED
