Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VimeoQA,Chrome 94.0.4606.81,,,2021-10-13 18:18:27,2021-10-13 18:19:39,1m - 11.981s,FAILED
,,,,,,,
Test Cases/User/UserActions,Chrome 94.0.4606.81,,,2021-10-13 18:18:28,2021-10-13 18:18:35,7.584s,PASSED
"response = sendRequest(findTestObject(""User/vimeoComment""))",Chrome 94.0.4606.81,,,2021-10-13 18:18:30,2021-10-13 18:18:35,5.127s,PASSED
body = response.getResponseBodyContent(),Chrome 94.0.4606.81,,,2021-10-13 18:18:35,2021-10-13 18:18:35,0.025s,PASSED
println(body),Chrome 94.0.4606.81,,,2021-10-13 18:18:35,2021-10-13 18:18:35,0.006s,PASSED
parser = new groovy.json.JsonSlurper(),Chrome 94.0.4606.81,,,2021-10-13 18:18:35,2021-10-13 18:18:35,0.026s,PASSED
responseAfterParsing = parser.parseText(body),Chrome 94.0.4606.81,,,2021-10-13 18:18:35,2021-10-13 18:18:35,0.024s,PASSED
link = link,Chrome 94.0.4606.81,,,2021-10-13 18:18:35,2021-10-13 18:18:35,0.031s,PASSED
"values = link.split(""#"")",Chrome 94.0.4606.81,,,2021-10-13 18:18:35,2021-10-13 18:18:35,0.004s,PASSED
comment_id = values[1],Chrome 94.0.4606.81,,,2021-10-13 18:18:35,2021-10-13 18:18:35,0.009s,PASSED
println(comment_id),Chrome 94.0.4606.81,,,2021-10-13 18:18:35,2021-10-13 18:18:35,0.001s,PASSED
comment_text = text,Chrome 94.0.4606.81,,,2021-10-13 18:18:35,2021-10-13 18:18:35,0.001s,PASSED
"verifyResponseStatusCode(response, 201)",Chrome 94.0.4606.81,,,2021-10-13 18:18:35,2021-10-13 18:18:35,0.033s,PASSED
,,,,,,,
Test Cases/commentCheck/commentVerify,Chrome 94.0.4606.81,,,2021-10-13 18:18:35,2021-10-13 18:19:39,1m - 3.687s,FAILED
"openBrowser("""")",Chrome 94.0.4606.81,,,2021-10-13 18:18:37,2021-10-13 18:18:40,3.022s,PASSED
"navigateToUrl(""https://vimeo.com/"")",Chrome 94.0.4606.81,,,2021-10-13 18:18:40,2021-10-13 18:18:41,1.006s,PASSED
"click(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/a_Log in""))",Chrome 94.0.4606.81,,,2021-10-13 18:18:41,2021-10-13 18:18:43,2.513s,PASSED
"setText(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_Log in to Vimeo_email""), ""ronyland@post.bgu.ac.il"")",Chrome 94.0.4606.81,,,2021-10-13 18:18:43,2021-10-13 18:18:44,1.102s,PASSED
"setEncryptedText(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_Log in to Vimeo_password""), ""3JtwHyzuAJdJUxaSbWvCLQ=="")",Chrome 94.0.4606.81,,,2021-10-13 18:18:44,2021-10-13 18:18:45,0.647s,PASSED
"click(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_A security code has been sent to your_7a5454""))",Chrome 94.0.4606.81,,,2021-10-13 18:18:45,2021-10-13 18:18:46,0.573s,PASSED
"navigateToUrl(""https://vimeo.com/"" + video_id)",Chrome 94.0.4606.81,,,2021-10-13 18:18:46,2021-10-13 18:18:49,3.389s,PASSED
"focus(findTestObject(""check3/pageTitleCapture/div_Menu                                   _11ec99""))",Chrome 94.0.4606.81,,,2021-10-13 18:18:49,2021-10-13 18:18:53,3.709s,PASSED
"scrollToPosition(9999999, 9999999)",Chrome 94.0.4606.81,,,2021-10-13 18:18:53,2021-10-13 18:18:53,0.088s,PASSED
delay(10),Chrome 94.0.4606.81,,,2021-10-13 18:18:53,2021-10-13 18:19:03,10.086s,PASSED
"comment = getText(findTestObject(""dynamicComment"", [""comment_id"":comment_id]))",Chrome 94.0.4606.81,,,2021-10-13 18:19:03,2021-10-13 18:19:38,34.713s,FAILED
